Start (ns),Stop (ns),Duration (ns),CID
679497170620,679637690154,140519534,QmaA2F6mu3AEhFGALoBw51KhpdM75ymxkaxDG1NU3uCsGj
682643785780,682717934765,74148985,Qmf7BXoQquQyxmHUo3xpVMYbncN5b4AGkjVs83Ra7fuoLC
685722177993,685799698538,77520545,QmdZgzeusHX7ocDTk29FBt4nXFB7nMdcyykhFvU2oP1BNT
688802282205,688903470478,101188273,QmfLYvTtyLoWx8jZHXppoR553UxNrUxZxTa8jEqgBvF298
691907621668,692080874589,173252921,QmNsmuTA8LK6wCx6rL6xgijx1qubsctDMeo93TfGmiTg3i
695084917851,695305205914,220288063,QmeVAzJawPqMR8optVQF15JDp9U3RtmHC5EhRhef7RXfmq
698309093909,698509182786,200088877,QmTUBQPBktKzMRiB13fKmMR14WE7bkC9TidqrWXGEj9bas
701511350741,701672957089,161606348,QmZUaZ4My2qK6ncXSYwrLeAqFEutgjf1MXgnWFAhBp3f3Z
704677001964,704944261714,267259750,Qme9DP6eXfGQuUtNZm4adeHaZMyxzAhxieK7oB94Tpbp3L
707948028710,708134808942,186780232,QmezzqqxRPK3j54ZH8MhhMNu1fQG8ihJRoRTaeYKsFKD28
711138795764,711323743726,184947962,QmT6AkcnDwwEpKZHhn43NDbRkELT6iKe3XvVnkt1Xwz9JB
714326278226,714569305359,243027133,QmQ8eYC7QQS2ThacbVzoosnUoso3nZep8dorEN4yrq2GXX
717573018334,717726369789,153351455,Qma7nBhqeWGc8g6UNwNFbpjFb8ny2Kdw9cAoaUuwtzkRYW
720729932059,720909648357,179716298,QmSAj35JZm45KdPTLdBCetY7pSZWCxvtq89bZPmKqNynPQ
723912997283,724182780964,269783681,Qma4TN4oKyLrssV2dA54ojXeMKX683Jc1spbogsibyta79
727186549737,727384440022,197890285,QmYnXmjHaKVW9BuGcyjahFgfVDFJAxpTTo7Kut2Rjupqxs
730388234024,730506837966,118603942,Qmc4qzGaFr9PVb7EBFnT6PvWuPKNFEskg1Eavsqr29UzUJ
733510708558,733650072919,139364361,QmZ2r8onihAdrTm8oykV2MdHWfmbumQ92tqjVT95wbaD7h
736651599407,736804008629,152409222,QmQYCJfPY5sEdS4jtoNaDeF8CmdHCnZdaBSkLTveuJ8S4Z
739809845901,740061199590,251353689,QmZZJ6mMhZFykfLnJ36w52VxnHKCAyLU3EfuNfDw4gDax4
