Start (ns),Stop (ns),Duration (ns),CID
2970739810254,2970985938606,246128352,QmWTNrQ36FHs1pvpNcyNWdqQ5KEuwZFEGo13sKmn7oGXnc
2973995255594,2974197852332,202596738,QmPxp1pyDYuHvos4PmXKcS1XbUfCjafc6USw9aL9SyVa2o
2977207076288,2977378074556,170998268,QmecboH5otxmQGbDGq47ojqfs7TqJet4TAie6exJdge4Pe
2980385099316,2981254132789,869033473,QmZrENAsgukSkELHJvDCPtrphwk9oN8gpQuH5fAFghVh2H
2984262718104,2984576622382,313904278,QmZGKNiZiSJgvajrREyQ4Xivd5L2RmDoX1R4ttR9D11FPb
2987580634114,2987939721948,359087834,QmS6XrtbBzSDfyuBtxZC8TdbrqbW52kbqa4jfwJ3jUeC5J
2990943927609,2991226332579,282404970,QmT76unQSGxnPSFtB1TuK67f1anVhR1JE1BS3HBpqWRj8Q
2994231413988,2994442238301,210824313,QmP3k1UqwFizzweAb2aYDkrdrePe3rEAzWTVc35zeiqLUN
2997448276142,2997826302028,378025886,QmYVoShSqRQ7UwJwQ2ekfDoxcBfy1y58JjmMnFRPmaxmzr
3000831569813,3001375000354,543430541,QmbkHBf6nGq4MLu1hHXDgkTDstbtmbggUtKUS5NKNcwEyP
3004381199760,3004635010677,253810917,QmWiKnuGgX8zpBtt74UJYYk6Lzc4juMdDpVRXsv9ZSXkRP
3007639687273,3008096705289,457018016,Qmf3fwEcz1azdzBSGWNn1cCkw5QXxe7BrA7rixoNa3SBZx
3011103297535,3011635735490,532437955,QmTDerHvrpD2Nsj9ZNniH3eYEYzLQuBMH9dCLfwrfHgXqY
3014641653835,3015396636321,754982486,QmdUbcgZBVFv9jb1XDBaNdf6PnzMdkMMHSH1CaqpxzJ5MM
3018402155707,3018838275265,436119558,QmeAtEBhiQuY9dNzjWTW6up5EiUeCZ5VVAYEFMvi2wLm8T
3021843865936,3022584475240,740609304,QmUmxR5fgdAyYj2Z3zqr1RC2VaufeQCwHYiKoJSwJvyh2s
3025587575052,3025807936290,220361238,QmYxFNfeR3p9ykq9hERYTDDgMeVXiL5sLr2HKuk6duEDNR
3028814234156,3029214461334,400227178,QmexZLWJcnfyZXzuuyLbTcCsuhEhw5vKyXjTzRAGMNWmam
3032219860766,3034264594389,2044733623,QmaqfahqoWpf2y9BQnMRzhxmvoqaAecqmQ8N84LrEAC7sf
3037270771038,3039148556272,1877785234,QmR9kAg4nCn5Cgea57qnhqFDt2vkQasEtEJFEuUERVicjS
3042154406350,3042800093020,645686670,QmUDNLsLnp14z6tfbpCyMQpR66UBV4AQFipjN7XhtKxcAx
3045803808245,3046499620825,695812580,QmSAiYEsNCFfBwvBY9JxfG1SquALqVZF7E2bUcTy1aZdG8
3049503801926,3050577657574,1073855648,QmeMzmSKzmNZ8RLnbcTo4pki136yRKea9r76CjtNwtGqjC
3053583230419,3054188396821,605166402,QmXLhiXuJvwoazXdvaJi9XZjnjg97JSxtzbnp6B8Q5grrQ
3057193950082,3058250643451,1056693369,QmTPmATYiqzNa6wUTCfWiSjGfkpPSkHhEh3rWiqebeWMbk
3061256110909,3061618661752,362550843,QmUv6v2Q4qewcCY6GBZpbh1oAPQNhTa7Wy4wD9vGx5vAyw
3064623662100,3065247875345,624213245,QmWosob3HMUehAVutJ1XjVmMTJZshE9EpcKcWguDqAbBts
3068254597653,3068902039155,647441502,QmX8d5jUEppCoUB7WFbe93btJ8hhgwF99sJK7Tj9qiAiN8
3071907782980,3072281475493,373692513,QmY8fNe8hn45qKUPXWDd1YtiwaWhtuGqu5Kkapt6azfnHK
3075286809189,3075677823739,391014550,QmW2ojvwr513iukmxsYZBgQWGenbLo3vRphjFQZX15sKx5
3078683860226,3079225593765,541733539,QmdheivfWN1oUhZirMfdmy3jUzc3UmZoQfWAFyZadFKpHx
3082231219631,3082659304384,428084753,QmV7HisJLJVMdwwMBbHM5YXro71e5inUg2u44N6pC5R2Qk
3085663747115,3086545389625,881642510,QmQmWThzxyoz41kA2Wv52MmBXoqy83PYaWvjAHaFpusRPq
3089550760516,3090134247264,583486748,QmR3ShT6kF4wNhVpmM6GBp3wwq5CSAcFjCnnxcWAua4vPh
3093140000457,3093490722372,350721915,QmQ1G4SzHmcodoWQ5GLpPNBvhWamg9X8zgdAehEa4naSUt
3096496576181,3097236341974,739765793,QmW4ivy8yaPCSHcoEkNF3C8DFSEMWvJJiYXXUgY7CjjzXt
3100239979928,3101060362465,820382537,QmNncvLaEruUNApRhu5in2DK4oL7C5y2YR2Q5Txpmto1gp
3104065705449,3104458390714,392685265,QmXZJgZa6s9uGiBXjM4sysoHQ2ZcNb2K4jdbHXV5gbFBwv
3107463576058,3107915060837,451484779,QmV4Se8J9cf48sQqkfPisUTsZGNJpzL81HHEHyBTE3UqDw
3110919920005,3111947960610,1028040605,QmQ86nezvYd1wffESgFXSAuncvUy4uFxFfTCQtFkyVQrsf
3114951776892,3115373561056,421784164,QmNnuwMaBCCa3gyNfkvJLBnwaZZUY6WCbeoirexX58W3iV
3118379306706,3118847559048,468252342,QmdYVnNJ4AamTerNDAHtr1QHW8E9CZoz2bT3PyaCRy2hfV
3121853984306,3122345237747,491253441,QmShsU3h4ojwBS1Vu6uKoBuxgWgyWQ8vY2R3YTdJjWHgEW
3125351248844,3125862950677,511701833,QmeSB83NDkcq3UzeDDtKZwpLcrV6bFrFLik2CRUoTKDZRX
3128867990021,3129190842504,322852483,QmVjJHPygFqRyfCCMaerpt8rJQanzQ1AZE2XxmUfSjXsbZ
3132195719668,3133005139736,809420068,Qmc7niV4MdUGWQHXv8bZcQ9xYWDiKeNrmdJ23U1ua4kYtR
3136011685893,3136334502571,322816678,QmZxfxpkJWuP54nup8yqVJD59H7MBVVWhGtH6FzLgbe2im
3139339661507,3139855631216,515969709,QmWDrDp8vP2sa9Cj6UFZZxR4eWEyhJh24CMifiby3iTQvw
3142859812474,3143472378335,612565861,QmTj6FZkUpjAyNn6gYtHLvBcJ7BfXzu2JHuDhtHUkZezpM
3146475652829,3147696566085,1220913256,QmNXVbx4WRqXgnbn77eWR5nUGtPsBFX6wACFRU7Uvn5BTE
