Start (ns),Stop (ns),Duration (ns)
620915481223,621117385851,201904628
621117630793,621334995973,217365180
621335170438,621483702340,148531902
621483973801,621623855645,139881844
621624098630,621740785175,116686545
621741030645,621859702257,118671612
621859829167,621976871647,117042480
621976991598,622076155589,99163991
622076393806,622193841461,117447655
622193971255,622293869089,99897834
622294160464,622393189858,99029394
622393429669,622493459743,100030074
622493715190,622588410226,94695036
622588678638,622707131588,118452950
622707423322,622823651930,116228608
622823900603,622923551660,99651057
622923793996,623018364135,94570139
623018626181,623132274405,113648224
623132514421,623235174279,102659858
623235456782,623335398901,99942119
623335639703,623438105208,102465505
623438358906,623547780996,109422090
623547917526,623642662858,94745332
623642788409,623747303768,104515359
623747430943,623840252317,92821374
623840377049,623948200919,107823870
623948325775,624040893507,92567732
624041018716,624149185975,108167259
624149330044,624240268863,90938819
624240430632,624352193774,111763142
624352512383,624449653338,97140955
624449908073,624570017720,120109647
624570310688,624672813323,102502635
624673091808,624774110389,101018581
624774352892,624872913276,98560384
624873163296,624966725808,93562512
624966974316,625057073641,90099325
625057315135,625146242676,88927541
625146507950,625237415742,90907792
625237667361,625325515907,87848546
625325775150,625416946033,91170883
625417198255,625507932920,90734665
625508066016,625596728939,88662923
625597007116,625683547829,86540713
625683814227,625768117818,84303591
625768362399,625846250564,77888165
625846492307,625929599613,83107306
625929755854,626019250264,89494410
626019416861,626108783942,89367081
626108974112,626197930376,88956264
626198183250,626276772575,78589325
626277108670,626358270598,81161928
626358613649,626466553579,107939930
626466797002,626564255810,97458808
626564628456,626660563311,95934855
626660732185,626768975398,108243213
626769105054,626862809471,93704417
626862928452,626955688434,92759982
626955818479,627048944270,93125791
627049085847,627142505770,93419923
627142714524,627251093818,108379294
627251230674,627359616364,108385690
627359760063,627474776706,115016643
627474928352,627592145979,117217627
627592531562,627699736925,107205363
627700038017,627820324654,120286637
627820457983,627940217007,119759024
627940497796,628052650116,112152320
628052791039,628165988350,113197311
628166131650,628266610327,100478677
628266744843,628366597337,99852494
628366723101,628473782720,107059619
628474291486,628574333601,100042115
628574506729,628671673839,97167110
628671800731,628782674183,110873452
628782800405,628898457419,115657014
628898653366,628998895912,100242546
628999136250,629115859491,116723241
629116104994,629214710503,98605509
629214945829,629312853908,97908079
629313092993,629411342193,98249200
629411581574,629507963432,96381858
629508202161,629605053034,96850873
629605311314,629701817308,96505994
629702089764,629803254723,101164959
629803585167,629901670495,98085328
629902107431,630000627264,98519833
630000905558,630114546247,113640689
630114806993,630219929489,105122496
630220063534,630318916254,98852720
630319144998,630438825600,119680602
630439067899,630555197014,116129115
630555433426,630656416751,100983325
630656666909,630758934869,102267960
630759169067,630878164597,118995530
630878404995,630998464485,120059490
630998697309,631134761360,136064051
631134996969,631237240533,102243564
631237480008,631334437067,96957059
631334695080,631430473557,95778477
